ticket_id,company_id,company_name,industry,ai_agent_id,ai_agent_name,agent_tier,channel,category,region,created_at,resolved_at,resolution_time_min,first_response_sec,interaction_turns,was_escalated,resolution_status,customer_sentiment,satisfaction_score,complexity_flag
TKT-C001-00001,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,number_porting,Moscow,2024-06-12 03:01:47,2024-06-12 03:35:47,34,8,2,False,resolved_by_ai,positive,5.0,False
TKT-C001-00002,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,billing_dispute,Rostov-on-Don,2024-01-08 02:13:14,2024-01-08 02:49:14,36,14,7,False,resolved_by_ai,positive,5.0,False
TKT-C001-00003,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,device_support,Chelyabinsk,2024-03-12 00:48:51,2024-03-12 01:08:51,20,8,6,False,resolved_by_ai,positive,3.0,False
TKT-C001-00004,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,roaming_issue,Kazan,2024-01-25 11:54:22,2024-01-25 12:36:22,42,11,7,False,resolved_by_ai,positive,5.0,False
TKT-C001-00005,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,number_porting,Voronezh,2024-06-09 19:56:55,2024-06-09 20:13:55,17,10,5,False,resolved_by_ai,neutral,,False
TKT-C001-00006,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,internet_speed,Novosibirsk,2024-02-29 03:24:17,2024-02-29 03:41:17,17,7,2,False,resolved_by_ai,positive,4.0,False
TKT-C001-00007,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,device_support,Voronezh,2024-05-16 23:15:10,2024-05-16 23:44:10,29,2,4,False,resolved_by_ai,positive,5.0,False
TKT-C001-00008,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,device_support,Samara,2024-01-15 07:52:02,2024-01-15 07:59:02,7,6,6,False,resolved_by_ai,positive,3.0,False
TKT-C001-00009,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,plan_upgrade,Chelyabinsk,2024-04-11 20:29:09,2024-04-11 20:41:09,12,10,7,False,resolved_by_ai,neutral,,False
TKT-C001-00010,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,service_outage,Chelyabinsk,2024-04-02 07:08:32,2024-04-02 07:36:32,28,3,3,False,resolved_by_ai,neutral,,True
TKT-C001-00011,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,cancellation,Saint Petersburg,2024-06-01 02:24:24,2024-06-01 03:03:24,39,8,1,False,resolved_by_ai,positive,5.0,False
TKT-C001-00012,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,internet_speed,Perm,2024-06-23 17:48:17,2024-06-23 18:05:17,17,3,6,True,escalated_to_human,negative,,False
TKT-C001-00013,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,roaming_issue,Omsk,2024-02-15 16:58:06,2024-02-15 17:09:06,11,9,6,False,resolved_by_ai,neutral,,False
TKT-C001-00014,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,billing_dispute,Yekaterinburg,2024-05-15 00:38:20,2024-05-15 00:54:20,16,10,6,True,escalated_to_human,positive,2.0,False
TKT-C001-00015,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,service_outage,Novosibirsk,2024-05-25 02:05:46,2024-05-25 02:40:46,35,7,8,False,resolved_by_ai,neutral,,True
TKT-C001-00016,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,email,number_porting,Ufa,2024-03-08 16:55:38,2024-03-08 17:11:38,16,15,5,False,resolved_by_ai,positive,5.0,False
TKT-C001-00017,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,phone,cancellation,Moscow,2024-06-15 11:28:57,2024-06-15 11:44:57,16,5,4,False,resolved_by_ai,neutral,3.0,False
TKT-C001-00018,C001,NovaTelecom,Telecommunications,AGT-PRO-2,TargetAI Pro v2.0,Pro,chat,service_outage,Samara,2024-01-19 22:40:03,2024-01-20 00:15:03,95,4,4,False,resolved_by_ai,negative,5.0,True
